danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,id,unique_track
-0.25593180595644627,-1.5164363823210234,-0.8368507305375505,-0.5785199497743564,1.846668897902482,-0.42161774563326043,-0.3158304501742379,-1.0696105552905368,0TL0LFcwIBF5eX7arDIKxY,Husn
-0.3509305519248734,0.01990889111931051,0.23845777298668636,-0.6133913145697711,-0.6314780050107975,-0.3858883974953329,-0.28926229294443956,-0.6137111990748613,0rlLBWFFTQiOWi963SH9bb,Choo Lo
0.022731182217605936,-1.4249299240283388,-0.9934749760163912,-0.48294657959433074,1.5404447954829916,-0.42053490526638093,0.4347199915675647,0.536305194982699,5Z2GQ0eBKoatNYqbGayihP,Lamhey
1.473045370668926,-2.320729989419882,-1.6312441574169727,-0.43645142653377766,2.53850853670207,-0.42143756450338693,0.4147938736452159,0.9839901483836777,6MZyrnqwsLnrWY5Gk0AyXg,Farq hai
0.022731182217605936,0.5930282877945449,-0.10742076911241977,0.5993572610929866,-0.5679648578423107,-0.42123502513112043,-0.7528766366044201,-0.16191904426653392,0PGU5mcLncBYE8yuVpSwqA,Bye
1.3210473771194426,-1.3623202420386076,-0.6600551807167381,0.4056274566740157,1.9184992429144605,-0.42161774563326043,0.6871174852506485,-0.018166995009338997,53gdHIMmv3XubECRLL6R62,Chor
0.7637214007713368,-0.808465362898675,-0.4500363060973836,-0.5126518162719063,0.648236299544725,-0.4049586630658832,-0.4486712363232294,-0.888893693367206,6KvXpACADAz73IPrCgXobL,Alfaazo
0.9473856429769626,-2.45076548278317,-1.9210583389185396,-0.5049026240951474,2.050818299515475,-0.42053052129728424,-0.7635038994963395,-1.1024681665493243,7uZLUFqPgGqwzD5rzOl8Sa,Mulaqat
-0.1482665605255622,-1.848749309804983,-1.2482860117480656,-0.5320247967138033,2.2587482456027828,-0.42161774563326043,-0.5283757080126243,-0.679426421592436,1ZiReD9pPTttQWwSoYqdyH,Aankhon Se Batana
-0.7879247833796378,-1.4201137946445135,-1.1622613314661263,-0.48552964365325035,2.636802693034252,-0.42161774563326043,-0.643947191962247,-0.05102460626812646,3eSm4iAkLsn3BeggfiQOH9,"Kaise Ab Kahein - From ""Gutar Gu"""
1.3020476279257571,-0.9433169856457891,0.47102104657647986,-0.3227966079413148,0.6179919437502074,-0.42141432946717455,-0.3556826860189352,0.5034475837239115,2dEvh4AAZvD8qwq0VGTAe6,Aasmaan Jaley
1.3147141273882141,-0.7458556809089435,-0.5511894646358013,-0.006371260723662352,0.21347368499853567,-0.42161774563326043,-0.7887436488646479,-0.3179926977457744,2AB7fsbG0eZJjDGile69CQ,Mera Safar
